run_id,key,value,step,timestamp
c4bfb747eaa341ef93be37f767e80a30,-1_f1-score,0.02386634844868735,0,1759439323357
c4bfb747eaa341ef93be37f767e80a30,-1_f1-score,0.02386634844868735,0,1759439323357
c4bfb747eaa341ef93be37f767e80a30,-1_precision,1,0,1759439323308
c4bfb747eaa341ef93be37f767e80a30,-1_precision,1,0,1759439323308
c4bfb747eaa341ef93be37f767e80a30,-1_recall,0.012077294685990338,0,1759439323335
c4bfb747eaa341ef93be37f767e80a30,-1_recall,0.012077294685990338,0,1759439323335
c4bfb747eaa341ef93be37f767e80a30,-1_support,1242,0,1759439323383
c4bfb747eaa341ef93be37f767e80a30,-1_support,1242,0,1759439323383
c4bfb747eaa341ef93be37f767e80a30,0_f1-score,0.7311827956989247,0,1759439323473
c4bfb747eaa341ef93be37f767e80a30,0_f1-score,0.7311827956989247,0,1759439323473
c4bfb747eaa341ef93be37f767e80a30,0_precision,0.6809078771695594,0,1759439323416
c4bfb747eaa341ef93be37f767e80a30,0_precision,0.6809078771695594,0,1759439323416
c4bfb747eaa341ef93be37f767e80a30,0_recall,0.7894736842105263,0,1759439323447
c4bfb747eaa341ef93be37f767e80a30,0_recall,0.7894736842105263,0,1759439323447
c4bfb747eaa341ef93be37f767e80a30,0_support,1938,0,1759439323503
c4bfb747eaa341ef93be37f767e80a30,0_support,1938,0,1759439323503
c4bfb747eaa341ef93be37f767e80a30,weighted avg_recall,0.6345634563456346,0,1759439323798
c4bfb747eaa341ef93be37f767e80a30,weighted avg_recall,0.6345634563456346,0,1759439323798
c4bfb747eaa341ef93be37f767e80a30,weighted avg_support,5555,0,1759439323858
c4bfb747eaa341ef93be37f767e80a30,weighted avg_support,5555,0,1759439323858
c4bfb747eaa341ef93be37f767e80a30,weighted avg_precision,0.7182049718637011,0,1759439323766
c4bfb747eaa341ef93be37f767e80a30,weighted avg_precision,0.7182049718637011,0,1759439323766
c4bfb747eaa341ef93be37f767e80a30,weighted avg_f1-score,0.5591340626507292,0,1759439323827
c4bfb747eaa341ef93be37f767e80a30,weighted avg_f1-score,0.5591340626507292,0,1759439323827
c4bfb747eaa341ef93be37f767e80a30,macro avg_recall,0.5450783964742775,0,1759439323677
c4bfb747eaa341ef93be37f767e80a30,macro avg_recall,0.5450783964742775,0,1759439323677
c4bfb747eaa341ef93be37f767e80a30,macro avg_precision,0.7607277699685554,0,1759439323648
c4bfb747eaa341ef93be37f767e80a30,macro avg_precision,0.7607277699685554,0,1759439323648
c4bfb747eaa341ef93be37f767e80a30,macro avg_support,5555,0,1759439323736
c4bfb747eaa341ef93be37f767e80a30,macro avg_support,5555,0,1759439323736
c4bfb747eaa341ef93be37f767e80a30,macro avg_f1-score,0.4845694277245746,0,1759439323707
c4bfb747eaa341ef93be37f767e80a30,macro avg_f1-score,0.4845694277245746,0,1759439323707
c4bfb747eaa341ef93be37f767e80a30,1_support,2375,0,1759439323619
c4bfb747eaa341ef93be37f767e80a30,1_support,2375,0,1759439323619
c4bfb747eaa341ef93be37f767e80a30,accuracy,0.6345634563456346,0,1759439323278
c4bfb747eaa341ef93be37f767e80a30,accuracy,0.6345634563456346,0,1759439323278
c4bfb747eaa341ef93be37f767e80a30,1_recall,0.8336842105263158,0,1759439323561
c4bfb747eaa341ef93be37f767e80a30,1_recall,0.8336842105263158,0,1759439323561
c4bfb747eaa341ef93be37f767e80a30,1_precision,0.6012754327361068,0,1759439323531
